0,Kenyon,Phillcox,8311958538,110511,2001-11-11,Rafael Uribe,M,Bachiller,kphillcox0@forbes.com,C.C,1021494016
0,Marita,Bene,7474502352,111511,1994-11-09,Usme,F,Piloto,mbene1@prlog.org,C.C,4377149370
0,Guglielmo,Letixier,3445350503,110111,1992-04-16,Kennedy,M,Independiente,gletixier2@simplemachines.org,C.C,3715595132
0,Kitty,Dondon,9504953078,111811,1987-03-07,Teusaquillo,F,Doctor,kdondon3@unc.edu,NUIP,8105216013
0,Zeb,Erskine Sandys,4115060409,111711,1995-10-19,Engativa,M,Vendedor,zerskinesandys4@cpanel.net,C.C,2953229882
0,Moishe,Jackes,1996595342,112011,2000-12-11,Fontibon,M,Ingeniero,mjackes5@cocolog-nifty.com,C.C,8994615691
0,Tandy,Donavan,6647825775,110311,1980-03-17,Santa Fe,F,Doctor,tdonavan6@yandex.ru,NUIP,4317237026
0,Moses,Handling,4813429918,110511,1991-06-05,Bosa,M,Independiente,mhandling7@thetimes.co.uk,T.I,5029830027
0,Shauna,Kerrey,4181737163,110711,1991-02-25,Teusaquillo,F,Piloto,skerrey8@google.com.hk,C.C,2113761204
0,Beitris,Picopp,1176377200,111311,1989-12-04,San Cristobal,F,Vendedor,bpicopp9@china.com.cn,NUIP,9815513576
0,Cinnamon,McGerraghty,8613626906,110711,1995-01-28,Teusaquillo,F,Vendedor,cmcgerraghtya@addtoany.com,C.C,7528411987
0,Roderigo,Albasini,5843809248,111911,1982-02-14,Sumapaz,M,Ingeniero,ralbasinib@google.co.jp,NUIP,7892622928
0,Hinze,Gantlett,2078886943,110311,1982-01-30,Engativa,M,Piloto,hgantlettc@mit.edu,NUIP,7238600354
0,Alfreda,O'Sheerin,2025792906,110511,1980-03-06,Suba,F,Vendedor,aosheerind@google.nl,C.C,3544065289
0,Delinda,Quelch,5266525560,111311,1995-09-21,Rafael Uribe,F,Piloto,dquelche@pagesperso-orange.fr,T.I,1665138097
0,Hartwell,Clemmow,9592025497,111511,1984-05-03,Antonio Narino,M,Vendedor,hclemmowf@narod.ru,NUIP,5577878388
0,Kendrick,Harnes,4006792832,111211,1983-05-15,Santa Fe,M,Doctor,kharnesg@springer.com,NUIP,4012207392
0,Blondell,Maffey,8675016882,110911,1992-11-29,Tunjuelito,F,Vendedor,bmaffeyh@de.vu,T.I,6565730499
0,Charmian,Bohlsen,5675880123,110211,1980-03-15,Sumapaz,F,Bachiller,cbohlseni@qq.com,C.C,4262668785
